roc_auc,accuracy,precision,sensitivity,specificity
0.7232142857142857,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.3214285714285714,0.7777777777777778,0.7777777777777778,1.0,0.0
0.35714285714285715,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.14285714285714285,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.4910714285714286,0.7222222222222222,0.8,0.8571428571428571,0.25
0.41964285714285715,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.3839285714285714,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.41964285714285715,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.39285714285714285,0.7777777777777778,0.7777777777777778,1.0,0.0
0.4732142857142857,0.7777777777777778,0.7777777777777778,1.0,0.0
0.41964285714285715,0.6111111111111112,0.7692307692307693,0.7142857142857143,0.25
0.5,0.6666666666666666,0.75,0.8571428571428571,0.0
0.49107142857142855,0.7777777777777778,0.7777777777777778,1.0,0.0
0.8125,0.7777777777777778,0.7777777777777778,1.0,0.0
0.2232142857142857,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.5625,0.6666666666666666,0.75,0.8571428571428571,0.0
0.29464285714285715,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.6339285714285714,0.7777777777777778,0.7777777777777778,1.0,0.0
0.5178571428571429,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.5178571428571428,0.7777777777777778,0.7777777777777778,1.0,0.0
0.4642857142857143,0.6666666666666666,0.75,0.8571428571428571,0.0
0.7767857142857143,0.7777777777777778,0.7777777777777778,1.0,0.0
0.4910714285714286,0.7777777777777778,0.7777777777777778,1.0,0.0
0.6071428571428572,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.17857142857142858,0.6666666666666666,0.75,0.8571428571428571,0.0
0.6071428571428572,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.33035714285714285,0.6666666666666666,0.75,0.8571428571428571,0.0
0.33035714285714285,0.7777777777777778,0.7777777777777778,1.0,0.0
0.4642857142857143,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.5267857142857143,0.6666666666666666,0.75,0.8571428571428571,0.0
0.5089285714285714,0.7777777777777778,0.7777777777777778,1.0,0.0
0.23214285714285715,0.7777777777777778,0.7777777777777778,1.0,0.0
0.48214285714285715,0.7777777777777778,0.7777777777777778,1.0,0.0
0.21428571428571427,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.7142857142857142,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.44642857142857145,0.6666666666666666,0.75,0.8571428571428571,0.0
0.17857142857142855,0.6666666666666666,0.75,0.8571428571428571,0.0
0.7410714285714286,0.7777777777777778,0.7777777777777778,1.0,0.0
0.375,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.4017857142857143,0.7222222222222222,0.8,0.8571428571428571,0.25
0.3392857142857143,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.5089285714285714,0.7777777777777778,0.7777777777777778,1.0,0.0
0.46428571428571425,0.7777777777777778,0.7777777777777778,1.0,0.0
0.4107142857142857,0.7777777777777778,0.8125,0.9285714285714286,0.25
0.3035714285714286,0.6666666666666666,0.75,0.8571428571428571,0.0
0.6696428571428572,0.7777777777777778,0.7777777777777778,1.0,0.0
0.41964285714285715,0.7777777777777778,0.7777777777777778,1.0,0.0
0.48214285714285715,0.7777777777777778,0.7777777777777778,1.0,0.0
0.375,0.6666666666666666,0.75,0.8571428571428571,0.0
0.625,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.3571428571428571,0.7777777777777778,0.7777777777777778,1.0,0.0
0.5446428571428571,0.7222222222222222,0.8,0.8571428571428571,0.25
0.3482142857142857,0.6666666666666666,0.75,0.8571428571428571,0.0
0.4553571428571428,0.7777777777777778,0.7777777777777778,1.0,0.0
0.26785714285714285,0.7777777777777778,0.7777777777777778,1.0,0.0
0.75,0.7222222222222222,0.8,0.8571428571428571,0.25
0.1875,0.6111111111111112,0.7333333333333333,0.7857142857142857,0.0
0.26785714285714285,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.33035714285714285,0.7777777777777778,0.7777777777777778,1.0,0.0
0.5803571428571429,0.8333333333333334,0.8666666666666667,0.9285714285714286,0.5
0.33035714285714285,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.0
0.6517857142857142,0.8333333333333334,0.8666666666666667,0.9285714285714286,0.5
